timestamp, latitude, longitude 
1545371439,20.2332,152.1324
1545371449,19.7449,152.5473
1545371459,19.2553,152.9595
1545371469,18.7647,153.3690
1545371478,18.2976,153.7555
1545371488,17.8049,154.1600
1545371498,17.3113,154.5619
1545371508,16.8166,154.9615
1545371518,16.3210,155.3587
1545371528,15.8245,155.7538
1545371538,15.3272,156.1466
1545371549,14.8290,156.5374
1545371559,14.3299,156.9263
1545371569,13.8302,157.3131
1545371579,13.3298,157.6981
1545371589,12.8286,158.0814
1545371599,12.3267,158.4629
1545371609,11.8243,158.8428
1545371619,11.3211,159.2212
1545371629,10.8174,159.5981
1545371639,10.3132,159.9735
1545371649,9.8085,160.3476
1545371659,9.3032,160.7204
1545371669,8.7975,161.0921
1545371679,8.2913,161.4625
1545371689,7.7847,161.8319
1545371699,7.2777,162.2004
1545371709,6.7704,162.5678
1545371718,6.2881,162.9161
1545371728,5.7802,163.2820
1545371738,5.2719,163.6471
1545371748,4.7634,164.0116
1545371758,4.2547,164.3754
1545371769,3.7458,164.7387
1545371779,3.2366,165.1015
1545371789,2.7274,165.4638
1545371799,2.2180,165.8259
1545371809,1.7085,166.1876
1545371819,1.1990,166.5491
1545371829,0.6894,166.9105
1545371839,0.1797,167.2718
1545371849,-0.3300,167.6331
1545371859,-0.8398,167.9945
1545371869,-1.3493,168.3559
1545371879,-1.8590,168.7175
1545371889,-2.3683,169.0792
1545371899,-2.8775,169.4413
1545371909,-3.3866,169.8037
1545371919,-3.8956,170.1665
1545371929,-4.4042,170.5298
1545371939,-4.9127,170.8936
1545371949,-5.4208,171.2580
1545371959,-5.9288,171.6232
1545371969,-6.4363,171.9890
1545371979,-6.9183,172.3373
1545371989,-7.4252,172.7048
1545371999,-7.9317,173.0732
1545372009,-8.4378,173.4427
1545372019,-8.9435,173.8132
1545372029,-9.4487,174.1848
1545372039,-9.9535,174.5577
1545372049,-10.4576,174.9318
1545372059,-10.9612,175.3073
1545372069,-11.4643,175.6842
1545372079,-11.9668,176.0626
1545372089,-12.4686,176.4425
1545372099,-12.9697,176.8241
1545372109,-13.4701,177.2073
1545372119,-13.9698,177.5923
1545372129,-14.4688,177.9793
1545372139,-14.9669,178.3681
1545372149,-15.4642,178.7588
1545372159,-15.9607,179.1517
1545372169,-16.4563,179.5468
1545372179,-16.9509,179.9441
1545372189,-17.4446,-179.6564
1545372199,-17.9373,-179.2544
1545372209,-18.4289,-178.8500
1545372219,-18.8950,-178.4635
1545372229,-19.3846,-178.0540
1545372239,-19.8730,-177.6419
1545372249,-20.3602,-177.2269
1545372259,-20.8462,-176.8091
1545372269,-21.3309,-176.3884
1545372279,-21.8144,-175.9645
1545372289,-22.2966,-175.5375
1545372299,-22.7773,-175.1073
1545372309,-23.2567,-174.6737
1545372319,-23.7346,-174.2367
1545372329,-24.2111,-173.7962
1545372339,-24.6859,-173.3521
1545372349,-25.1592,-172.9042
1545372359,-25.6309,-172.4526
1545372369,-26.1009,-171.9971
1545372379,-26.5690,-171.5377
1545372389,-27.0354,-171.0741
1545372399,-27.5000,-170.6063
1545372409,-27.9627,-170.1342
1545372419,-28.4234,-169.6577
1545372429,-28.8822,-169.1766
1545372439,-29.3389,-168.6910
1545372449,-29.7935,-168.2006
1545372459,-30.2460,-167.7054
1545372469,-30.6961,-167.2053
1545372479,-31.1217,-166.7255
1545372489,-31.5673,-166.2154
